id_measurement;latitude;longitude;id_ernte;fehlt;überreif;verkümmert;kein Kopf;faul;unreif;Gewicht
Hofmaenner_F_001.059;47.21835718;9.493562921;Hofmaenner_F_001.059;false;false;false;false;false;false;578
Hofmaenner_F_001.060;47.21835426;9.493561235;Hofmaenner_F_001.060;false;false;false;false;false;false;599
Hofmaenner_F_001.061;47.21835114;9.493559601;Hofmaenner_F_001.061;false;false;false;false;false;false;587
Hofmaenner_F_001.062;47.2183482;9.493557889;Hofmaenner_F_001.062;false;false;false;false;false;false;552
Hofmaenner_F_001.063;47.21834509;9.493556221;Hofmaenner_F_001.063;false;false;false;false;false;false;486
Hofmaenner_F_001.064;47.21834214;9.493554698;Hofmaenner_F_001.064;false;false;false;false;false;false;665
Hofmaenner_F_001.065;47.21833926;9.493553131;Hofmaenner_F_001.065;false;false;false;false;false;false;511
Hofmaenner_F_001.066;47.21833609;9.493551218;Hofmaenner_F_001.066;false;false;false;false;false;false;690
Hofmaenner_F_001.067;47.21833303;9.493549687;Hofmaenner_F_001.067;false;false;false;false;false;false;636
Hofmaenner_F_001.068;47.21833037;9.493547991;Hofmaenner_F_001.068;false;false;false;false;false;false;302
Hofmaenner_F_001.069;47.21832689;9.493546203;Hofmaenner_F_001.069;false;false;false;false;false;false;719
Hofmaenner_F_001.070;47.21832397;9.493544593;Hofmaenner_F_001.070;false;false;false;false;false;false;595
Hofmaenner_F_001.071;47.21832128;9.493543074;Hofmaenner_F_001.071;false;false;false;false;false;false;502
Hofmaenner_F_001.072;47.21831826;9.493541096;Hofmaenner_F_001.072;false;false;false;false;false;false;741
Hofmaenner_F_001.073;47.21831547;9.493539737;Hofmaenner_F_001.073;false;false;true;false;false;false;nan
Hofmaenner_F_001.074;47.21831232;9.493537786;Hofmaenner_F_001.074;false;true;false;false;false;false;nan
Hofmaenner_F_001.075;47.21830937;9.493536344;Hofmaenner_F_001.075;false;false;false;false;false;false;666
Hofmaenner_F_001.076;47.21830625;9.493534511;Hofmaenner_F_001.076;false;false;false;false;false;false;529
Hofmaenner_F_001.077;47.21830319;9.493532863;Hofmaenner_F_001.077;false;false;false;false;false;false;722
Hofmaenner_F_001.078;47.21830005;9.493531123;Hofmaenner_F_001.078;false;false;false;false;false;false;515
Hofmaenner_F_001.079;47.21829726;9.493529675;Hofmaenner_F_001.079;false;false;false;true;false;false;nan
Hofmaenner_F_001.080;47.21829421;9.493527918;Hofmaenner_F_001.080;false;false;false;false;false;false;632
Hofmaenner_F_001.081;47.21829131;9.493526136;Hofmaenner_F_001.081;false;false;false;false;false;false;579
Hofmaenner_F_001.082;47.21828858;9.493524653;Hofmaenner_F_001.082;false;false;false;false;false;false;519
Hofmaenner_F_001.083;47.21828543;9.49352277;Hofmaenner_F_001.083;false;false;false;false;false;false;645
Hofmaenner_F_001.084;47.21828222;9.493521217;Hofmaenner_F_001.084;false;false;false;false;false;true;nan
Hofmaenner_F_001.085;47.21827922;9.493519524;Hofmaenner_F_001.085;false;false;false;false;false;false;643
Hofmaenner_F_001.086;47.21827635;9.493517884;Hofmaenner_F_001.086;false;false;false;false;false;false;600
Hofmaenner_F_001.087;47.21827334;9.49351633;Hofmaenner_F_001.087;false;false;false;false;false;false;426
Hofmaenner_F_001.088;47.21827025;9.493514467;Hofmaenner_F_001.088;false;false;false;false;false;false;589
Hofmaenner_F_001.089;47.21826741;9.49351282;Hofmaenner_F_001.089;false;false;false;false;false;false;425
Hofmaenner_F_001.090;47.21826425;9.493511185;Hofmaenner_F_001.090;false;false;false;false;false;false;626
Hofmaenner_F_001.091;47.2182614;9.493509564;Hofmaenner_F_001.091;false;false;false;false;false;false;715
Hofmaenner_F_001.092;47.21825843;9.493507767;Hofmaenner_F_001.092;false;false;false;false;false;false;443
Hofmaenner_F_001.093;47.21825549;9.493506285;Hofmaenner_F_001.093;false;false;false;false;false;false;466
Hofmaenner_F_001.094;47.21825239;9.493504354;Hofmaenner_F_001.094;false;false;false;false;false;false;434
Hofmaenner_F_001.095;47.21824938;9.493502612;Hofmaenner_F_001.095;false;false;false;false;false;false;846
Hofmaenner_F_001.096;47.21824649;9.493500978;Hofmaenner_F_001.096;false;false;true;false;false;false;nan
Hofmaenner_F_001.097;47.2182432;9.493499324;Hofmaenner_F_001.097;false;false;false;false;false;false;714
Hofmaenner_F_001.098;47.21824;9.493497449;Hofmaenner_F_001.098;false;false;false;false;false;false;604
Hofmaenner_F_001.099;47.21823723;9.493495916;Hofmaenner_F_001.099;false;false;false;false;false;false;535
Hofmaenner_F_001.100;47.21823379;9.493494033;Hofmaenner_F_001.100;false;false;false;false;false;false;549
Hofmaenner_F_001.101;47.21823114;9.493492486;Hofmaenner_F_001.101;false;false;false;false;false;false;456
Hofmaenner_F_001.102;47.21822799;9.493490591;Hofmaenner_F_001.102;false;false;false;false;false;false;495
Hofmaenner_F_001.103;47.21822464;9.493488885;Hofmaenner_F_001.103;false;false;false;false;false;false;610
Hofmaenner_F_001.104;47.21822174;9.493486986;Hofmaenner_F_001.104;false;false;false;false;false;false;715
Hofmaenner_F_001.105;47.21821895;9.493485353;Hofmaenner_F_001.105;false;false;false;false;false;false;426
Hofmaenner_F_001.106;47.21821586;9.493483661;Hofmaenner_F_001.106;false;false;false;false;false;false;592
Hofmaenner_F_001.107;47.2182126;9.493481748;Hofmaenner_F_001.107;false;false;false;false;false;false;460
Hofmaenner_F_001.108;47.21820969;9.49348023;Hofmaenner_F_001.108;false;false;false;false;false;false;561
Hofmaenner_F_001.109;47.21820646;9.493478597;Hofmaenner_F_001.109;false;false;false;false;false;false;545
Hofmaenner_F_001.110;47.21820379;9.493476839;Hofmaenner_F_001.110;false;false;false;false;false;false;570
Hofmaenner_F_001.111;47.21820053;9.493474834;Hofmaenner_F_001.111;false;false;false;false;false;false;515
Hofmaenner_F_001.112;47.21819749;9.493473127;Hofmaenner_F_001.112;false;false;false;false;false;false;598
Hofmaenner_F_001.113;47.21819454;9.493471337;Hofmaenner_F_001.113;false;false;false;false;false;false;389
Hofmaenner_F_001.114;47.2181915;9.493469565;Hofmaenner_F_001.114;false;false;false;false;false;false;456
Hofmaenner_F_001.115;47.21818824;9.493467966;Hofmaenner_F_001.115;false;false;false;false;false;false;480
Hofmaenner_F_001.116;47.2181853;9.493466156;Hofmaenner_F_001.116;false;false;false;false;false;false;472
Hofmaenner_F_001.117;47.21818214;9.493464106;Hofmaenner_F_001.117;false;false;false;false;false;false;416
Hofmaenner_F_001.118;47.21817922;9.493462686;Hofmaenner_F_001.118;false;false;false;false;false;false;659
Hofmaenner_F_001.119;47.21817606;9.493461107;Hofmaenner_F_001.119;false;false;false;false;false;false;524
Hofmaenner_F_001.120;47.21817308;9.493459297;Hofmaenner_F_001.120;false;false;false;false;false;false;603
Hofmaenner_F_001.121;47.21816998;9.493457511;Hofmaenner_F_001.121;false;false;false;false;false;false;568
Hofmaenner_F_001.122;47.21816692;9.493455862;Hofmaenner_F_001.122;false;false;false;false;false;false;715
Hofmaenner_F_001.123;47.21816388;9.493453982;Hofmaenner_F_001.123;false;false;false;false;false;true;205
Hofmaenner_F_001.124;47.2181606;9.49345229;Hofmaenner_F_001.124;false;false;false;false;false;false;834
Hofmaenner_F_001.125;47.21815455;9.493449001;Hofmaenner_F_001.125;false;false;false;false;false;false;664
Hofmaenner_F_001.126;47.21815135;9.493447091;Hofmaenner_F_001.126;false;false;false;false;false;false;431
Hofmaenner_F_001.127;47.21814837;9.493445197;Hofmaenner_F_001.127;false;false;false;false;false;false;559
Hofmaenner_F_001.128;47.21814525;9.493443687;Hofmaenner_F_001.128;false;false;false;false;false;false;723
Hofmaenner_F_001.129;47.21814229;9.493441979;Hofmaenner_F_001.129;false;false;false;false;false;false;523
Hofmaenner_F_001.130;47.21813963;9.493440147;Hofmaenner_F_001.130;false;false;false;false;false;false;532
Hofmaenner_F_001.131;47.21813643;9.493438488;Hofmaenner_F_001.131;false;false;false;false;false;false;334
Hofmaenner_F_001.132;47.21813314;9.493436923;Hofmaenner_F_001.132;false;false;false;false;false;false;448
Hofmaenner_F_001.133;47.21813019;9.493435139;Hofmaenner_F_001.133;false;false;false;false;false;false;622
Hofmaenner_F_001.134;47.21812719;9.493433493;Hofmaenner_F_001.134;false;false;false;false;false;false;408
Hofmaenner_F_001.135;47.21812445;9.493431996;Hofmaenner_F_001.135;false;false;false;false;false;false;513
Hofmaenner_F_001.136;47.21812121;9.493429985;Hofmaenner_F_001.136;false;false;false;false;false;false;593
Hofmaenner_F_001.137;47.21811826;9.49342832;Hofmaenner_F_001.137;false;false;false;false;false;false;467
Hofmaenner_F_001.138;47.21811515;9.4934267;Hofmaenner_F_001.138;false;false;false;false;false;false;467
Hofmaenner_F_001.139;47.21811232;9.493425058;Hofmaenner_F_001.139;false;false;false;false;false;false;530
Hofmaenner_F_001.140;47.21810931;9.493423183;Hofmaenner_F_001.140;false;false;false;false;false;false;566
Hofmaenner_F_001.141;47.21810625;9.493421529;Hofmaenner_F_001.141;false;false;false;false;false;false;592
Hofmaenner_F_001.142;47.21810308;9.493419819;Hofmaenner_F_001.142;false;false;false;false;false;false;497
Hofmaenner_F_001.143;47.21810003;9.49341819;Hofmaenner_F_001.143;false;false;false;false;false;false;631
Hofmaenner_F_001.144;47.21809679;9.493416241;Hofmaenner_F_001.144;false;false;false;false;false;false;523
Hofmaenner_F_001.145;47.21809432;9.493414862;Hofmaenner_F_001.145;false;false;false;false;false;false;345
Hofmaenner_F_001.146;47.21809106;9.493412743;Hofmaenner_F_001.146;false;false;false;false;false;false;853
Hofmaenner_F_001.147;47.21808785;9.493410982;Hofmaenner_F_001.147;false;false;false;true;false;false;nan
Hofmaenner_F_001.148;47.21808532;9.493409608;Hofmaenner_F_001.148;false;false;false;false;false;false;357
Hofmaenner_F_001.149;47.21808219;9.493407797;Hofmaenner_F_001.149;false;true;false;false;false;false;nan
Hofmaenner_F_001.150;47.21807886;9.493405961;Hofmaenner_F_001.150;false;false;false;false;false;false;430
Hofmaenner_F_001.151;47.21807606;9.493404434;Hofmaenner_F_001.151;false;false;false;false;false;false;607
Hofmaenner_F_001.152;47.21807299;9.493402645;Hofmaenner_F_001.152;false;false;false;false;false;false;752
Hofmaenner_F_001.153;47.21806976;9.493400716;Hofmaenner_F_001.153;false;false;false;false;false;false;523
Hofmaenner_F_001.154;47.21806664;9.493399156;Hofmaenner_F_001.154;false;false;false;false;false;false;714
Hofmaenner_F_001.155;47.21806368;9.493397338;Hofmaenner_F_001.155;false;false;false;false;false;false;539
Hofmaenner_F_001.156;47.21806085;9.493395769;Hofmaenner_F_001.156;false;false;false;false;false;false;611
Hofmaenner_F_001.157;47.21805798;9.493394261;Hofmaenner_F_001.157;false;false;false;false;false;false;565
Hofmaenner_F_001.158;47.21805473;9.493392356;Hofmaenner_F_001.158;false;false;false;false;false;false;515
Hofmaenner_F_001.159;47.2180518;9.493390579;Hofmaenner_F_001.159;false;false;false;false;true;false;nan
Hofmaenner_F_001.160;47.21804876;9.493388928;Hofmaenner_F_001.160;false;true;false;false;false;false;nan
Hofmaenner_F_001.161;47.21804559;9.493387109;Hofmaenner_F_001.161;false;false;false;false;false;false;698
Hofmaenner_F_001.162;47.21804246;9.493385271;Hofmaenner_F_001.162;false;false;false;false;false;false;568
Hofmaenner_F_001.163;47.21803942;9.49338362;Hofmaenner_F_001.163;false;false;false;false;false;false;655
Hofmaenner_F_001.164;47.21803646;9.493382006;Hofmaenner_F_001.164;false;false;false;false;false;false;619
